"model","auc","accuracy","precision","recall","f1"
"GLM (Logistic)",0.833469387755102,0.829145728643216,0.674418604651163,0.591836734693878,0.630434782608696
"Random Forest",0.884013605442177,0.778894472361809,0.631578947368421,0.244897959183673,0.352941176470588
"XGBoost",0.877551020408163,0.844221105527638,0.68,0.693877551020408,0.686868686868687
"Neural Net",0.795646258503401,0.78391959798995,0.615384615384615,0.326530612244898,0.426666666666667
